Year-Month,date,tc,rh,ws,wd,p,o3,no,no2,nox,co,pm10,pm25,aqs,date_only
2018-09,0.0,100.0,100.0,12.5,12.5,12.916666666666668,16.52777777777778,16.52777777777778,16.52777777777778,16.52777777777778,16.666666666666664,100.0,70.83333333333334,0.0,0.0
2018-10,0.0,100.0,100.0,0.0,0.0,0.13440860215053765,4.301075268817205,5.10752688172043,5.10752688172043,5.10752688172043,4.301075268817205,100.0,0.13440860215053765,0.0,0.0
2018-11,0.0,100.0,100.0,0.1388888888888889,0.1388888888888889,0.1388888888888889,4.305555555555555,4.305555555555555,4.305555555555555,4.305555555555555,4.305555555555555,100.0,11.38888888888889,0.0,0.0
2018-12,0.0,100.0,100.0,39.6505376344086,39.6505376344086,39.784946236559136,44.354838709677416,42.473118279569896,42.473118279569896,42.473118279569896,42.473118279569896,100.0,39.91935483870967,0.0,0.0
2019-01,0.0,100.0,100.0,66.71140939597315,66.71140939597315,66.97986577181209,69.79865771812081,68.32214765100672,68.32214765100672,68.32214765100672,68.32214765100672,100.0,67.51677852348993,0.0,0.0
2019-02,0.0,100.0,100.0,0.4464285714285714,0.4464285714285714,0.5952380952380952,5.5059523809523805,4.613095238095238,4.613095238095238,4.613095238095238,4.761904761904762,100.0,0.5952380952380952,0.0,0.0
2019-03,0.0,100.0,100.0,0.0,0.0,0.13440860215053765,5.241935483870968,5.64516129032258,5.64516129032258,5.64516129032258,5.913978494623656,100.0,0.5376344086021506,0.0,0.0
2019-04,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.722222222222222,4.722222222222222,4.722222222222222,4.444444444444445,100.0,0.0,0.0,0.0
2019-05,0.0,100.0,100.0,0.13440860215053765,0.13440860215053765,0.2688172043010753,4.838709677419355,5.241935483870968,5.241935483870968,5.241935483870968,4.704301075268817,100.0,0.2688172043010753,0.0,0.0
2019-06,0.0,100.0,100.0,5.0,5.0,5.694444444444445,17.083333333333332,17.083333333333332,17.083333333333332,17.083333333333332,17.083333333333332,100.0,14.86111111111111,0.0,0.0
2019-07,0.0,100.0,100.0,0.0,0.0,0.0,4.435483870967742,21.102150537634408,21.102150537634408,21.102150537634408,4.301075268817205,100.0,0.0,0.0,0.0
2019-08,0.0,100.0,100.0,0.0,0.0,0.0,4.301075268817205,4.301075268817205,4.301075268817205,4.301075268817205,4.435483870967742,100.0,0.0,0.0,0.0
2019-09,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,17.36111111111111,17.36111111111111,17.36111111111111,4.166666666666666,100.0,2.083333333333333,0.0,0.0
2019-10,0.0,100.0,100.0,22.58064516129032,22.58064516129032,22.71505376344086,25.940860215053764,68.27956989247312,68.27956989247312,68.27956989247312,50.806451612903224,100.0,22.983870967741936,0.0,0.0
2019-11,0.0,100.0,100.0,0.0,0.0,0.0,4.444444444444445,4.444444444444445,4.444444444444445,4.444444444444445,4.305555555555555,100.0,0.0,0.0,0.0
2019-12,0.0,100.0,100.0,0.0,0.0,0.0,4.973118279569892,5.10752688172043,5.10752688172043,5.10752688172043,5.376344086021505,100.0,0.0,0.0,0.0
2020-01,0.0,100.0,100.0,0.2688172043010753,0.2688172043010753,0.2688172043010753,5.779569892473118,5.779569892473118,5.779569892473118,5.779569892473118,5.10752688172043,100.0,0.2688172043010753,0.0,0.0
2020-02,0.0,100.0,100.0,0.14367816091954022,0.14367816091954022,81.46551724137932,10.488505747126437,8.764367816091955,8.764367816091955,8.764367816091955,7.614942528735632,100.0,0.14367816091954022,0.0,0.0
2020-03,0.0,100.0,100.0,0.0,0.0,56.451612903225815,4.435483870967742,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2020-04,0.0,100.0,100.0,0.0,0.0,0.0,4.305555555555555,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2020-05,0.0,100.0,100.0,0.2688172043010753,0.2688172043010753,0.2688172043010753,4.838709677419355,6.854838709677419,6.854838709677419,6.854838709677419,5.10752688172043,100.0,0.2688172043010753,0.0,0.0
2020-06,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2020-07,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2020-08,0.0,100.0,100.0,0.0,0.0,0.0,34.946236559139784,13.440860215053762,13.440860215053762,13.440860215053762,4.166666666666666,100.0,27.419354838709676,0.0,0.0
2020-09,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,15.138888888888888,15.138888888888888,15.138888888888888,4.166666666666666,100.0,0.0,0.0,0.0
2020-10,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,84.54301075268818,84.54301075268818,84.54301075268818,10.080645161290322,100.0,0.0,0.0,0.0
2020-11,0.0,100.0,100.0,0.0,0.0,0.1388888888888889,5.138888888888888,85.13888888888889,85.13888888888889,85.13888888888889,14.444444444444443,100.0,0.1388888888888889,0.0,0.0
2020-12,0.0,100.0,100.0,0.13440860215053765,0.13440860215053765,0.13440860215053765,4.435483870967742,17.338709677419356,17.338709677419356,17.338709677419356,42.06989247311828,100.0,0.5376344086021506,0.0,0.0
2021-01,0.0,100.0,100.0,0.0,0.0,0.0,5.913978494623656,20.161290322580644,20.161290322580644,20.161290322580644,100.0,100.0,0.0,0.0,0.0
2021-02,0.0,100.0,100.0,0.0,0.0,0.0,4.613095238095238,5.059523809523809,5.059523809523809,5.059523809523809,32.589285714285715,100.0,0.0,0.0,0.0
2021-03,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.8064516129032258,0.0,0.0
2021-04,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.305555555555555,4.305555555555555,4.305555555555555,4.166666666666666,100.0,3.3333333333333335,0.0,0.0
2021-05,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.301075268817205,4.301075268817205,4.301075268817205,4.166666666666666,100.0,0.0,0.0,0.0
2021-06,0.0,100.0,100.0,0.0,0.0,0.0,4.305555555555555,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2021-07,0.0,100.0,100.0,0.0,0.0,0.0,4.301075268817205,4.435483870967742,4.435483870967742,4.435483870967742,4.435483870967742,100.0,0.0,0.0,0.0
2021-08,0.0,100.0,100.0,0.0,0.0,0.0,4.435483870967742,4.166666666666666,4.166666666666666,4.166666666666666,31.85483870967742,100.0,1.747311827956989,0.0,0.0
2021-09,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.305555555555555,100.0,0.0,0.0,0.0
2021-10,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2021-11,0.0,100.0,100.0,0.2777777777777778,0.2777777777777778,0.4166666666666667,4.583333333333333,4.583333333333333,4.583333333333333,4.583333333333333,6.527777777777779,100.0,0.4166666666666667,0.0,0.0
2021-12,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2022-01,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.704301075268817,4.704301075268817,4.704301075268817,4.56989247311828,100.0,0.0,0.0,0.0
2022-02,0.0,100.0,100.0,0.0,0.0,0.0,3.125,3.125,3.125,3.125,3.422619047619048,100.0,0.0,0.0,0.0
2022-03,0.0,100.0,100.0,0.13440860215053765,0.13440860215053765,0.2688172043010753,0.5376344086021506,0.2688172043010753,0.2688172043010753,0.2688172043010753,0.8064516129032258,100.0,0.2688172043010753,0.0,0.0
2022-04,0.0,100.0,100.0,0.1388888888888889,0.1388888888888889,0.2777777777777778,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.9722222222222222,100.0,0.6944444444444444,0.0,0.0
2022-05,0.0,100.0,100.0,0.13440860215053765,0.13440860215053765,0.2688172043010753,1.6129032258064515,0.5376344086021506,0.5376344086021506,0.5376344086021506,1.478494623655914,100.0,0.2688172043010753,0.0,0.0
2022-06,0.0,100.0,100.0,0.2777777777777778,0.2777777777777778,0.4166666666666667,4.722222222222222,37.22222222222222,37.22222222222222,37.22222222222222,4.583333333333333,100.0,2.2222222222222223,0.0,0.0
2022-07,0.0,100.0,100.0,0.13440860215053765,0.13440860215053765,0.2688172043010753,4.435483870967742,47.17741935483871,47.17741935483871,47.17741935483871,13.03763440860215,100.0,0.5376344086021506,0.0,0.0
2022-08,0.0,100.0,100.0,2.956989247311828,2.956989247311828,3.0913978494623655,9.13978494623656,3.494623655913978,3.494623655913978,3.494623655913978,7.123655913978495,100.0,3.8978494623655915,0.0,0.0
2022-09,0.0,100.0,100.0,0.0,0.0,0.0,4.444444444444445,11.38888888888889,11.38888888888889,11.38888888888889,4.305555555555555,100.0,0.0,0.0,0.0
2022-10,0.0,100.0,100.0,0.0,0.0,0.0,10.75268817204301,5.510752688172043,5.510752688172043,5.510752688172043,8.333333333333332,100.0,0.0,0.0,0.0
2022-11,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2022-12,0.0,100.0,100.0,0.0,0.0,0.0,0.13440860215053765,4.435483870967742,4.435483870967742,4.435483870967742,4.166666666666666,100.0,0.0,0.0,0.0
2023-01,0.0,100.0,100.0,0.0,0.0,0.0,0.2688172043010753,4.973118279569892,4.973118279569892,4.973118279569892,0.2688172043010753,100.0,0.0,0.0,0.0
2023-02,0.0,100.0,100.0,0.0,0.0,0.0,1.488095238095238,3.7202380952380953,3.7202380952380953,3.7202380952380953,0.0,100.0,0.0,0.0,0.0
2023-03,0.0,100.0,100.0,0.13440860215053765,0.13440860215053765,0.13440860215053765,1.0752688172043012,22.849462365591396,22.849462365591396,22.849462365591396,1.0752688172043012,100.0,0.13440860215053765,0.0,0.0
2023-04,0.0,88.19444444444444,88.19444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.1388888888888889,0.0,0.0
2023-05,0.0,0.6720430107526881,0.6720430107526881,0.6720430107526881,0.6720430107526881,0.6720430107526881,0.8064516129032258,0.6720430107526881,0.6720430107526881,0.6720430107526881,0.6720430107526881,100.0,1.2096774193548387,0.0,0.0
2023-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4166666666666667,100.0,0.0,0.0,0.0
2023-07,0.0,9.67741935483871,9.67741935483871,9.274193548387096,9.274193548387096,9.67741935483871,14.650537634408604,13.709677419354838,13.709677419354838,13.709677419354838,9.811827956989246,100.0,12.096774193548388,0.0,0.0
2023-08,0.0,3.225806451612903,3.225806451612903,3.0913978494623655,3.0913978494623655,3.225806451612903,3.225806451612903,3.494623655913978,3.494623655913978,3.494623655913978,3.225806451612903,100.0,7.258064516129033,0.0,0.0
2023-09,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,4.583333333333333,100.0,1.5277777777777777,0.0,0.0
2023-10,0.0,16.93548387096774,16.93548387096774,16.93548387096774,16.93548387096774,16.93548387096774,19.623655913978492,19.758064516129032,19.758064516129032,19.758064516129032,17.338709677419356,100.0,16.93548387096774,0.0,0.0
2023-11,0.0,0.6944444444444444,0.6944444444444444,0.5555555555555556,0.5555555555555556,0.6944444444444444,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6944444444444444,100.0,0.6944444444444444,0.0,0.0
2023-12,0.0,0.0,0.0,0.0,0.0,0.0,0.6720430107526881,74.05913978494624,74.05913978494624,74.05913978494624,0.6720430107526881,100.0,0.0,0.0,0.0
2024-01,0.0,0.13440860215053765,0.13440860215053765,0.0,0.0,0.13440860215053765,3.494623655913978,37.5,37.5,37.5,3.494623655913978,100.0,0.13440860215053765,0.0,0.0
2024-02,0.0,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,2.7298850574712645,2.442528735632184,2.442528735632184,2.442528735632184,2.442528735632184,100.0,0.8620689655172413,0.0,0.0
2024-03,0.0,2.28494623655914,2.28494623655914,2.1505376344086025,2.1505376344086025,2.28494623655914,9.13978494623656,10.887096774193548,10.887096774193548,10.887096774193548,8.870967741935484,100.0,2.28494623655914,0.0,0.0
2024-04,0.0,9.166666666666666,9.166666666666666,7.222222222222221,7.222222222222221,9.166666666666666,19.305555555555557,44.72222222222222,44.72222222222222,44.72222222222222,14.166666666666666,100.0,28.333333333333332,0.0,0.0
2024-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2688172043010753,1.2096774193548387,1.2096774193548387,1.2096774193548387,0.2688172043010753,100.0,0.0,0.0,0.0
2024-06,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,1.5277777777777777,1.5277777777777777,1.5277777777777777,0.1388888888888889,100.0,0.2777777777777778,0.0,0.0
2024-07,0.0,0.0,0.0,0.0,0.0,0.0,1.3440860215053763,0.5376344086021506,0.5376344086021506,0.5376344086021506,0.5376344086021506,100.0,0.0,0.0,0.0
2024-08,0.0,36.693548387096776,36.693548387096776,36.693548387096776,36.693548387096776,36.693548387096776,36.82795698924731,36.693548387096776,36.693548387096776,36.693548387096776,36.693548387096776,100.0,36.82795698924731,0.0,0.0
2024-09,0.0,11.527777777777779,11.527777777777779,11.38888888888889,11.38888888888889,11.527777777777779,11.666666666666666,21.52777777777778,21.52777777777778,21.52777777777778,11.666666666666666,100.0,12.222222222222221,0.0,0.0
2024-10,0.0,7.661290322580645,7.661290322580645,7.526881720430108,7.526881720430108,7.661290322580645,10.618279569892474,13.440860215053762,13.440860215053762,13.440860215053762,10.618279569892474,100.0,9.005376344086022,0.0,0.0
2024-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
